Athlete,testDate,expression,movement,quality,benchmarkPct
Player A,3/7/2023,isometric,upper body,pull,
Player A,4/7/2023,dynamic,agility,acceleration,0.32
Player A,10/7/2023,dynamic,agility,deceleration,0.867
Player A,18/07/2023,isometric,jump,take off,
Player A,20/07/2023,dynamic,upper body,pull,0.8525
Player A,30/07/2023,isometric,upper body,grapple,
Player A,31/07/2023,isometric,jump,land,
Player A,11/8/2023,isometric,sprint,acceleration,
Player A,18/08/2023,dynamic,agility,deceleration,0.868
Player A,25/08/2023,dynamic,upper body,push,0.4
Player A,31/08/2023,isometric,upper body,pull,
Player A,1/9/2023,dynamic,jump,take off,0.6985
Player A,5/9/2023,isometric,agility,rotate,
Player A,7/9/2023,dynamic,jump,take off,0.7085
Player A,11/9/2023,dynamic,upper body,push,0.388
Player A,13/09/2023,isometric,upper body,grapple,
Player A,14/09/2023,isometric,agility,acceleration,0.52
Player A,20/09/2023,dynamic,sprint,max velocity,0.5845
Player A,24/09/2023,isometric,agility,rotate,
Player A,28/09/2023,dynamic,agility,acceleration,0.4305
Player A,28/09/2023,isometric,sprint,max velocity,
Player A,29/09/2023,isometric,upper body,pull,
Player A,18/10/2023,isometric,agility,deceleration,1.038
Player A,22/10/2023,dynamic,jump,land,0.6615
Player A,10/11/2023,isometric,jump,take off,
Player A,12/11/2023,isometric,jump,take off,
Player A,13/11/2023,dynamic,jump,take off,0.651
Player A,18/11/2023,dynamic,jump,pre-load,0.5085
Player A,18/11/2023,isometric,upper body,grapple,
Player A,20/11/2023,isometric,agility,deceleration,1.038
Player A,27/11/2023,dynamic,sprint,acceleration,0.4305
Player A,28/11/2023,isometric,sprint,acceleration,0.52
Player A,3/12/2023,isometric,upper body,pull,
Player A,6/12/2023,dynamic,jump,take off,0.64
Player A,10/12/2023,dynamic,agility,deceleration,0.87
Player A,10/12/2023,isometric,sprint,acceleration,0.52
Player A,16/12/2023,dynamic,jump,take off,0.6355
Player A,20/12/2023,dynamic,upper body,push,0.43
Player A,22/12/2023,dynamic,upper body,pull,0.87
Player A,25/12/2023,dynamic,sprint,max velocity,0.634
Player A,26/12/2023,dynamic,agility,deceleration,0.87
Player A,28/12/2023,dynamic,jump,take off,0.64
Player A,2/1/2024,isometric,sprint,max velocity,
Player A,4/1/2024,isometric,agility,rotate,
Player A,9/1/2024,dynamic,jump,land,0.69
Player A,26/01/2024,dynamic,jump,land,0.668
Player A,29/01/2024,isometric,upper body,pull,
Player A,31/01/2024,isometric,sprint,max velocity,
Player A,4/2/2024,dynamic,jump,pre-load,0.53
Player A,6/2/2024,isometric,upper body,grapple,
Player A,17/02/2024,dynamic,upper body,push,0.4345
Player A,12/3/2024,dynamic,jump,pre-load,0.5
Player A,13/03/2024,dynamic,agility,deceleration,0.89
Player A,14/03/2024,dynamic,sprint,max velocity,0.637
Player A,15/03/2024,isometric,upper body,push,0.704
Player A,17/03/2024,isometric,jump,pre-load,0.52
Player A,30/03/2024,dynamic,agility,acceleration,0.44
Player A,31/03/2024,isometric,upper body,pull,
Player A,4/4/2024,dynamic,sprint,max velocity,0.628
Player A,11/4/2024,dynamic,sprint,acceleration,0.433
Player A,13/04/2024,isometric,sprint,max velocity,-0.2
Player A,14/04/2024,isometric,jump,pre-load,0.52
Player A,16/04/2024,isometric,agility,deceleration,1.1365
Player A,19/04/2024,isometric,agility,acceleration,0.52
Player A,19/04/2024,dynamic,agility,deceleration,0.89
Player A,25/04/2024,isometric,agility,rotate,
Player A,8/5/2024,dynamic,upper body,push,0.43
Player A,10/5/2024,dynamic,sprint,max velocity,0.625
Player A,12/5/2024,dynamic,sprint,acceleration,0.43
Player A,20/05/2024,isometric,sprint,acceleration,0.49
Player A,26/05/2024,dynamic,jump,pre-load,0.4655
Player A,14/06/2024,isometric,agility,acceleration,0.49
Player A,15/06/2024,dynamic,jump,land,0.723
Player A,17/06/2024,dynamic,jump,land,0.723
Player A,17/06/2024,dynamic,upper body,push,0.43
Player A,28/06/2024,dynamic,jump,pre-load,0.4655
